facility_name,facility_type,commodity,value,units,phase_of_matter,io
rmp_92,raw_material_producer,forest_residuals,693.504,tons,solid,o
rmp_93,raw_material_producer,forest_residuals,10118.072,tons,solid,o
rmp_94,raw_material_producer,forest_residuals,27917.506,tons,solid,o
rmp_95,raw_material_producer,forest_residuals,5297.152,tons,solid,o
rmp_96,raw_material_producer,forest_residuals,25572.602,tons,solid,o
rmp_97,raw_material_producer,forest_residuals,21672.958,tons,solid,o
rmp_98,raw_material_producer,forest_residuals,3152.234,tons,solid,o
rmp_99,raw_material_producer,forest_residuals,16382.912,tons,solid,o
rmp_100,raw_material_producer,forest_residuals,18729.088,tons,solid,o
rmp_101,raw_material_producer,forest_residuals,24107.35,tons,solid,o
rmp_102,raw_material_producer,forest_residuals,14969.472,tons,solid,o
rmp_103,raw_material_producer,forest_residuals,13445.934,tons,solid,o
rmp_104,raw_material_producer,forest_residuals,21209.156,tons,solid,o
rmp_105,raw_material_producer,forest_residuals,11791.392,tons,solid,o
rmp_106,raw_material_producer,forest_residuals,1325.622,tons,solid,o
rmp_107,raw_material_producer,forest_residuals,22019.672,tons,solid,o
rmp_108,raw_material_producer,forest_residuals,15581.246,tons,solid,o
rmp_109,raw_material_producer,forest_residuals,24761.024,tons,solid,o
rmp_110,raw_material_producer,forest_residuals,18489.208,tons,solid,o
rmp_111,raw_material_producer,forest_residuals,6368.32,tons,solid,o
rmp_112,raw_material_producer,forest_residuals,8194.016,tons,solid,o
rmp_113,raw_material_producer,forest_residuals,13144.708,tons,solid,o
rmp_114,raw_material_producer,forest_residuals,2130.212,tons,solid,o
rmp_115,raw_material_producer,forest_residuals,914.8519999,tons,solid,o
rmp_116,raw_material_producer,forest_residuals,14881.25,tons,solid,o
rmp_117,raw_material_producer,forest_residuals,2932.428,tons,solid,o
rmp_118,raw_material_producer,forest_residuals,19828.046,tons,solid,o
rmp_119,raw_material_producer,forest_residuals,13826.336,tons,solid,o
rmp_120,raw_material_producer,forest_residuals,11217.872,tons,solid,o
rmp_121,raw_material_producer,forest_residuals,3231.872,tons,solid,o
rmp_122,raw_material_producer,forest_residuals,5543.806,tons,solid,o
rmp_123,raw_material_producer,forest_residuals,7232.838,tons,solid,o
rmp_124,raw_material_producer,forest_residuals,7946.34,tons,solid,o
rmp_125,raw_material_producer,forest_residuals,12843.14,tons,solid,o
rmp_126,raw_material_producer,forest_residuals,3279.807998,tons,solid,o
rmp_127,raw_material_producer,forest_residuals,27150.142,tons,solid,o
rmp_128,raw_material_producer,forest_residuals,18499.168,tons,solid,o
rmp_129,raw_material_producer,forest_residuals,179.2,tons,solid,o
rmp_130,raw_material_producer,forest_residuals,17379.264,tons,solid,o
rmp_131,raw_material_producer,forest_residuals,6577.532,tons,solid,o
rmp_132,raw_material_producer,forest_residuals,7257.186,tons,solid,o
rmp_133,raw_material_producer,forest_residuals,16457.184,tons,solid,o
rmp_134,raw_material_producer,forest_residuals,3126.378,tons,solid,o
rmp_135,raw_material_producer,forest_residuals,3268.18,tons,solid,o
rmp_136,raw_material_producer,forest_residuals,9444.236,tons,solid,o
rmp_137,raw_material_producer,forest_residuals,12183.728,tons,solid,o
rmp_138,raw_material_producer,forest_residuals,5088.384,tons,solid,o
rmp_139,raw_material_producer,forest_residuals,21080.522,tons,solid,o
rmp_140,raw_material_producer,forest_residuals,12510.302,tons,solid,o
rmp_141,raw_material_producer,forest_residuals,30544.106,tons,solid,o
rmp_142,raw_material_producer,forest_residuals,3042.448,tons,solid,o
rmp_143,raw_material_producer,forest_residuals,9596.477999,tons,solid,o
rmp_144,raw_material_producer,forest_residuals,23307.628,tons,solid,o
rmp_145,raw_material_producer,forest_residuals,4798.766,tons,solid,o
rmp_146,raw_material_producer,forest_residuals,23495.36,tons,solid,o
rmp_147,raw_material_producer,forest_residuals,30715.776,tons,solid,o
rmp_148,raw_material_producer,forest_residuals,17315.868,tons,solid,o
rmp_149,raw_material_producer,forest_residuals,398.72,tons,solid,o
rmp_150,raw_material_producer,forest_residuals,15049.878,tons,solid,o
rmp_151,raw_material_producer,forest_residuals,27118.624,tons,solid,o
rmp_152,raw_material_producer,forest_residuals,14356.72,tons,solid,o
rmp_153,raw_material_producer,forest_residuals,29556.272,tons,solid,o
rmp_154,raw_material_producer,forest_residuals,10299.074,tons,solid,o
rmp_155,raw_material_producer,forest_residuals,32943.03,tons,solid,o
rmp_156,raw_material_producer,forest_residuals,27572.402,tons,solid,o
rmp_157,raw_material_producer,forest_residuals,2839.29,tons,solid,o
rmp_158,raw_material_producer,forest_residuals,60894.458,tons,solid,o
rmp_159,raw_material_producer,forest_residuals,14506.034,tons,solid,o
rmp_160,raw_material_producer,forest_residuals,23839.116,tons,solid,o
rmp_161,raw_material_producer,forest_residuals,5861.114,tons,solid,o
rmp_162,raw_material_producer,forest_residuals,15967.7,tons,solid,o
rmp_163,raw_material_producer,forest_residuals,31812.08,tons,solid,o
rmp_164,raw_material_producer,forest_residuals,808.6400026,tons,solid,o
rmp_165,raw_material_producer,forest_residuals,2483.712,tons,solid,o
rmp_166,raw_material_producer,forest_residuals,4625.326,tons,solid,o
rmp_167,raw_material_producer,forest_residuals,20425.58,tons,solid,o
rmp_168,raw_material_producer,forest_residuals,7314.692002,tons,solid,o
rmp_169,raw_material_producer,forest_residuals,4861.696,tons,solid,o
rmp_170,raw_material_producer,forest_residuals,6696.704,tons,solid,o
rmp_171,raw_material_producer,forest_residuals,21083.24,tons,solid,o
rmp_172,raw_material_producer,forest_residuals,15616.684,tons,solid,o
rmp_173,raw_material_producer,forest_residuals,5855.684,tons,solid,o
rmp_174,raw_material_producer,forest_residuals,11993.24199,tons,solid,o
rmp_175,raw_material_producer,forest_residuals,4212.992,tons,solid,o
rmp_176,raw_material_producer,forest_residuals,19906.88,tons,solid,o
rmp_177,raw_material_producer,forest_residuals,4356.593999,tons,solid,o
rmp_178,raw_material_producer,forest_residuals,7880.922,tons,solid,o
rmp_179,raw_material_producer,forest_residuals,11957.772,tons,solid,o
rmp_180,raw_material_producer,forest_residuals,19003.702,tons,solid,o
rmp_181,raw_material_producer,forest_residuals,7348.544,tons,solid,o
rmp_182,raw_material_producer,forest_residuals,8286.946001,tons,solid,o
rmp_183,raw_material_producer,forest_residuals,12115.534,tons,solid,o
rmp_184,raw_material_producer,forest_residuals,3304,tons,solid,o
rmp_185,raw_material_producer,forest_residuals,12329.086,tons,solid,o
rmp_186,raw_material_producer,forest_residuals,7978.879999,tons,solid,o
rmp_187,raw_material_producer,forest_residuals,6500.733997,tons,solid,o
rmp_188,raw_material_producer,forest_residuals,7805.836,tons,solid,o
rmp_189,raw_material_producer,forest_residuals,21033.75,tons,solid,o
rmp_190,raw_material_producer,forest_residuals,24672.158,tons,solid,o
rmp_191,raw_material_producer,forest_residuals,7748.01,tons,solid,o
rmp_192,raw_material_producer,forest_residuals,22783.936,tons,solid,o
rmp_193,raw_material_producer,forest_residuals,5443.200005,tons,solid,o
rmp_194,raw_material_producer,forest_residuals,13208.678,tons,solid,o
rmp_195,raw_material_producer,forest_residuals,10801.212,tons,solid,o
rmp_196,raw_material_producer,forest_residuals,11311.10399,tons,solid,o
rmp_197,raw_material_producer,forest_residuals,5832.064,tons,solid,o
rmp_198,raw_material_producer,forest_residuals,17736.76799,tons,solid,o
rmp_199,raw_material_producer,forest_residuals,10141.376,tons,solid,o
rmp_200,raw_material_producer,forest_residuals,25386.652,tons,solid,o
rmp_201,raw_material_producer,forest_residuals,16540.36,tons,solid,o
rmp_202,raw_material_producer,forest_residuals,14749.504,tons,solid,o
rmp_203,raw_material_producer,forest_residuals,3618.478002,tons,solid,o
rmp_204,raw_material_producer,forest_residuals,9901.931975,tons,solid,o
rmp_205,raw_material_producer,forest_residuals,11990.83,tons,solid,o
rmp_206,raw_material_producer,forest_residuals,14607.04,tons,solid,o
rmp_207,raw_material_producer,forest_residuals,387.968,tons,solid,o
rmp_208,raw_material_producer,forest_residuals,2179.92,tons,solid,o
rmp_209,raw_material_producer,forest_residuals,21720.15,tons,solid,o
rmp_210,raw_material_producer,forest_residuals,13152.68,tons,solid,o
rmp_211,raw_material_producer,forest_residuals,6433.238002,tons,solid,o
rmp_212,raw_material_producer,forest_residuals,921.3200003,tons,solid,o
rmp_213,raw_material_producer,forest_residuals,4827.367997,tons,solid,o
rmp_214,raw_material_producer,forest_residuals,6169.742,tons,solid,o
rmp_215,raw_material_producer,forest_residuals,4713.856,tons,solid,o
rmp_216,raw_material_producer,forest_residuals,17831.65,tons,solid,o
rmp_217,raw_material_producer,forest_residuals,15120.79,tons,solid,o
rmp_218,raw_material_producer,forest_residuals,5051.14,tons,solid,o
rmp_219,raw_material_producer,forest_residuals,18264.512,tons,solid,o
rmp_220,raw_material_producer,forest_residuals,1420.11,tons,solid,o
rmp_221,raw_material_producer,forest_residuals,2771.09,tons,solid,o
rmp_222,raw_material_producer,forest_residuals,5699.455973,tons,solid,o
rmp_223,raw_material_producer,forest_residuals,8036.224,tons,solid,o
rmp_224,raw_material_producer,forest_residuals,1521.408,tons,solid,o
rmp_225,raw_material_producer,forest_residuals,7644.338,tons,solid,o
rmp_226,raw_material_producer,forest_residuals,27396.376,tons,solid,o
rmp_227,raw_material_producer,forest_residuals,6521.466,tons,solid,o
rmp_228,raw_material_producer,forest_residuals,25775.496,tons,solid,o
rmp_229,raw_material_producer,forest_residuals,4930.688,tons,solid,o
rmp_230,raw_material_producer,forest_residuals,22662.528,tons,solid,o
rmp_231,raw_material_producer,forest_residuals,21645.796,tons,solid,o
rmp_232,raw_material_producer,forest_residuals,632.4,tons,solid,o
rmp_233,raw_material_producer,forest_residuals,4312.448,tons,solid,o
rmp_234,raw_material_producer,forest_residuals,3812.032,tons,solid,o
rmp_235,raw_material_producer,forest_residuals,9815.621972,tons,solid,o
rmp_236,raw_material_producer,forest_residuals,8851.43,tons,solid,o
rmp_237,raw_material_producer,forest_residuals,13268.752,tons,solid,o
rmp_238,raw_material_producer,forest_residuals,5358.764,tons,solid,o
rmp_239,raw_material_producer,forest_residuals,33350.394,tons,solid,o
rmp_240,raw_material_producer,forest_residuals,34840.49,tons,solid,o
rmp_241,raw_material_producer,forest_residuals,14816.704,tons,solid,o
rmp_242,raw_material_producer,forest_residuals,13560.484,tons,solid,o
rmp_243,raw_material_producer,forest_residuals,1866.82,tons,solid,o
rmp_244,raw_material_producer,forest_residuals,14676.422,tons,solid,o
rmp_245,raw_material_producer,forest_residuals,15007.536,tons,solid,o
rmp_246,raw_material_producer,forest_residuals,2686.77,tons,solid,o
rmp_247,raw_material_producer,forest_residuals,46617.03,tons,solid,o
rmp_248,raw_material_producer,forest_residuals,8625.923978,tons,solid,o
rmp_249,raw_material_producer,forest_residuals,5648.522,tons,solid,o
rmp_250,raw_material_producer,forest_residuals,5703.53,tons,solid,o
rmp_251,raw_material_producer,forest_residuals,4573.74,tons,solid,o
rmp_252,raw_material_producer,forest_residuals,8518.16596,tons,solid,o
rmp_253,raw_material_producer,forest_residuals,4168.968,tons,solid,o
rmp_254,raw_material_producer,forest_residuals,11373.824,tons,solid,o
rmp_255,raw_material_producer,forest_residuals,4782.06,tons,solid,o
rmp_256,raw_material_producer,forest_residuals,15328.256,tons,solid,o
rmp_257,raw_material_producer,forest_residuals,2936.192,tons,solid,o
rmp_278,raw_material_producer,forest_residuals,3903.25,tons,solid,o
rmp_279,raw_material_producer,forest_residuals,9078.891998,tons,solid,o
rmp_280,raw_material_producer,forest_residuals,7172.726,tons,solid,o
rmp_281,raw_material_producer,forest_residuals,16582.516,tons,solid,o
rmp_282,raw_material_producer,forest_residuals,19367.382,tons,solid,o
rmp_283,raw_material_producer,forest_residuals,6884.285996,tons,solid,o
rmp_284,raw_material_producer,forest_residuals,12637.372,tons,solid,o
rmp_285,raw_material_producer,forest_residuals,1477.73,tons,solid,o
rmp_286,raw_material_producer,forest_residuals,6404.384,tons,solid,o
rmp_287,raw_material_producer,forest_residuals,2570.176,tons,solid,o
rmp_288,raw_material_producer,forest_residuals,18621.86,tons,solid,o
rmp_289,raw_material_producer,forest_residuals,13914.834,tons,solid,o
rmp_290,raw_material_producer,forest_residuals,801.472,tons,solid,o
rmp_291,raw_material_producer,forest_residuals,19959.922,tons,solid,o
rmp_292,raw_material_producer,forest_residuals,1080.124,tons,solid,o
rmp_293,raw_material_producer,forest_residuals,8071.288001,tons,solid,o
rmp_294,raw_material_producer,forest_residuals,10632.636,tons,solid,o
rmp_295,raw_material_producer,forest_residuals,5874.844,tons,solid,o
rmp_296,raw_material_producer,forest_residuals,2473.242,tons,solid,o
rmp_297,raw_material_producer,forest_residuals,6431.062001,tons,solid,o
rmp_298,raw_material_producer,forest_residuals,9589.412,tons,solid,o
rmp_299,raw_material_producer,forest_residuals,19166.612,tons,solid,o
rmp_300,raw_material_producer,forest_residuals,4553.024,tons,solid,o
rmp_303,raw_material_producer,forest_residuals,13210.624,tons,solid,o
rmp_304,raw_material_producer,forest_residuals,6074.82,tons,solid,o
rmp_305,raw_material_producer,forest_residuals,4077.62,tons,solid,o
rmp_306,raw_material_producer,forest_residuals,6247.652,tons,solid,o
rmp_307,raw_material_producer,forest_residuals,5003.996,tons,solid,o
rmp_308,raw_material_producer,forest_residuals,5682.572,tons,solid,o
rmp_309,raw_material_producer,forest_residuals,19926.796,tons,solid,o
rmp_310,raw_material_producer,forest_residuals,19687.168,tons,solid,o
rmp_311,raw_material_producer,forest_residuals,1367.744,tons,solid,o
rmp_312,raw_material_producer,forest_residuals,8396.826,tons,solid,o
rmp_313,raw_material_producer,forest_residuals,7915.08,tons,solid,o
rmp_314,raw_material_producer,forest_residuals,12644.654,tons,solid,o
rmp_317,raw_material_producer,forest_residuals,6014.848,tons,solid,o
rmp_318,raw_material_producer,forest_residuals,12044.032,tons,solid,o
rmp_319,raw_material_producer,forest_residuals,16757.126,tons,solid,o
rmp_322,raw_material_producer,forest_residuals,16050.48,tons,solid,o
rmp_323,raw_material_producer,forest_residuals,15182.786,tons,solid,o
rmp_324,raw_material_producer,forest_residuals,4603.992,tons,solid,o
rmp_325,raw_material_producer,forest_residuals,189.504,tons,solid,o
rmp_326,raw_material_producer,forest_residuals,2349.312,tons,solid,o
rmp_327,raw_material_producer,forest_residuals,4969.92,tons,solid,o
rmp_328,raw_material_producer,forest_residuals,2527.352,tons,solid,o
rmp_329,raw_material_producer,forest_residuals,12701.92607,tons,solid,o
rmp_330,raw_material_producer,forest_residuals,17610.61195,tons,solid,o
rmp_331,raw_material_producer,forest_residuals,2536.072,tons,solid,o
rmp_332,raw_material_producer,forest_residuals,18322.908,tons,solid,o
rmp_333,raw_material_producer,forest_residuals,3232.32,tons,solid,o
rmp_334,raw_material_producer,forest_residuals,16446.23,tons,solid,o
rmp_335,raw_material_producer,forest_residuals,8814.4,tons,solid,o
rmp_336,raw_material_producer,forest_residuals,116.25,tons,solid,o
rmp_337,raw_material_producer,forest_residuals,1270.08,tons,solid,o
rmp_342,raw_material_producer,forest_residuals,9962.623962,tons,solid,o
rmp_343,raw_material_producer,forest_residuals,9805.851998,tons,solid,o
rmp_344,raw_material_producer,forest_residuals,3299.02,tons,solid,o
rmp_345,raw_material_producer,forest_residuals,7039.566,tons,solid,o
rmp_346,raw_material_producer,forest_residuals,16501.676,tons,solid,o
rmp_347,raw_material_producer,forest_residuals,19895.716,tons,solid,o
rmp_348,raw_material_producer,forest_residuals,19105.878,tons,solid,o
rmp_381,raw_material_producer,forest_residuals,15253.548,tons,solid,o
rmp_382,raw_material_producer,forest_residuals,9585.873999,tons,solid,o
rmp_383,raw_material_producer,forest_residuals,1885.184,tons,solid,o
rmp_384,raw_material_producer,forest_residuals,6554.656,tons,solid,o
rmp_385,raw_material_producer,forest_residuals,16048.686,tons,solid,o
rmp_386,raw_material_producer,forest_residuals,10759.572,tons,solid,o
rmp_388,raw_material_producer,forest_residuals,6738.273999,tons,solid,o
rmp_390,raw_material_producer,forest_residuals,3519.488,tons,solid,o
rmp_391,raw_material_producer,forest_residuals,6039.782,tons,solid,o
rmp_392,raw_material_producer,forest_residuals,14020.39,tons,solid,o
rmp_393,raw_material_producer,forest_residuals,10602.632,tons,solid,o
rmp_399,raw_material_producer,forest_residuals,7412.788,tons,solid,o
rmp_400,raw_material_producer,forest_residuals,16970.534,tons,solid,o
rmp_401,raw_material_producer,forest_residuals,1716.47,tons,solid,o
rmp_402,raw_material_producer,forest_residuals,3945.614,tons,solid,o
rmp_406,raw_material_producer,forest_residuals,4242.906,tons,solid,o
rmp_412,raw_material_producer,forest_residuals,17284.36,tons,solid,o
rmp_435,raw_material_producer,forest_residuals,5073.474,tons,solid,o
rmp_436,raw_material_producer,forest_residuals,2253.887998,tons,solid,o
rmp_437,raw_material_producer,forest_residuals,7329.064001,tons,solid,o
rmp_438,raw_material_producer,forest_residuals,2928.576,tons,solid,o
rmp_442,raw_material_producer,forest_residuals,11109.478,tons,solid,o
rmp_447,raw_material_producer,forest_residuals,11019.742,tons,solid,o
